"det.abund","det.MR","det.prod","lambda","n.viable.combinations","priority","simscenarios"
"L","L","L","L",9913,1,1
"M","M","M","L",9913,1,2
"H","H","H","L",9913,1,3
"L","L","L","M",10535,1,4
"M","M","M","M",10535,1,5
"H","H","H","M",10535,1,6
"L","L","L","H",11078,1,7
"M","M","M","H",11078,1,8
"H","H","H","H",11078,1,9
"M","L","L","L",9913,2,10
"H","L","L","L",9913,2,11
"L","M","L","L",9913,2,12
"M","M","L","L",9913,2,13
"L","H","L","L",9913,2,14
"H","H","L","L",9913,2,15
"L","NA","L","L",9913,2,16
"L","L","M","L",9913,2,17
"M","L","M","L",9913,2,18
"L","M","M","L",9913,2,19
"H","M","M","L",9913,2,20
"M","H","M","L",9913,2,21
"H","H","M","L",9913,2,22
"M","NA","M","L",9913,2,23
"L","L","H","L",9913,2,24
"H","L","H","L",9913,2,25
"M","M","H","L",9913,2,26
"H","M","H","L",9913,2,27
"L","H","H","L",9913,2,28
"M","H","H","L",9913,2,29
"H","NA","H","L",9913,2,30
"L","L","NA","L",9913,2,31
"M","M","NA","L",9913,2,32
"H","H","NA","L",9913,2,33
"L","NA","NA","L",9913,2,34
"M","NA","NA","L",9913,2,35
"H","NA","NA","L",9913,2,36
"M","L","L","M",10535,2,37
"H","L","L","M",10535,2,38
"L","M","L","M",10535,2,39
"M","M","L","M",10535,2,40
"L","H","L","M",10535,2,41
"H","H","L","M",10535,2,42
"L","NA","L","M",10535,2,43
"L","L","M","M",10535,2,44
"M","L","M","M",10535,2,45
"L","M","M","M",10535,2,46
"H","M","M","M",10535,2,47
"M","H","M","M",10535,2,48
"H","H","M","M",10535,2,49
"M","NA","M","M",10535,2,50
"L","L","H","M",10535,2,51
"H","L","H","M",10535,2,52
"M","M","H","M",10535,2,53
"H","M","H","M",10535,2,54
"L","H","H","M",10535,2,55
"M","H","H","M",10535,2,56
"H","NA","H","M",10535,2,57
"L","L","NA","M",10535,2,58
"M","M","NA","M",10535,2,59
"H","H","NA","M",10535,2,60
"L","NA","NA","M",10535,2,61
"M","NA","NA","M",10535,2,62
"H","NA","NA","M",10535,2,63
"M","L","L","H",11078,2,64
"H","L","L","H",11078,2,65
"L","M","L","H",11078,2,66
"M","M","L","H",11078,2,67
"L","H","L","H",11078,2,68
"H","H","L","H",11078,2,69
"L","NA","L","H",11078,2,70
"L","L","M","H",11078,2,71
"M","L","M","H",11078,2,72
"L","M","M","H",11078,2,73
"H","M","M","H",11078,2,74
"M","H","M","H",11078,2,75
"H","H","M","H",11078,2,76
"M","NA","M","H",11078,2,77
"L","L","H","H",11078,2,78
"H","L","H","H",11078,2,79
"M","M","H","H",11078,2,80
"H","M","H","H",11078,2,81
"L","H","H","H",11078,2,82
"M","H","H","H",11078,2,83
"H","NA","H","H",11078,2,84
"L","L","NA","H",11078,2,85
"M","M","NA","H",11078,2,86
"H","H","NA","H",11078,2,87
"L","NA","NA","H",11078,2,88
"M","NA","NA","H",11078,2,89
"H","NA","NA","H",11078,2,90
"H","M","L","L",9913,3,91
"M","H","L","L",9913,3,92
"M","NA","L","L",9913,3,93
"H","NA","L","L",9913,3,94
"H","L","M","L",9913,3,95
"L","H","M","L",9913,3,96
"L","NA","M","L",9913,3,97
"H","NA","M","L",9913,3,98
"M","L","H","L",9913,3,99
"L","M","H","L",9913,3,100
"L","NA","H","L",9913,3,101
"M","NA","H","L",9913,3,102
"M","L","NA","L",9913,3,103
"H","L","NA","L",9913,3,104
"L","M","NA","L",9913,3,105
"H","M","NA","L",9913,3,106
"L","H","NA","L",9913,3,107
"M","H","NA","L",9913,3,108
"H","M","L","M",10535,3,109
"M","H","L","M",10535,3,110
"M","NA","L","M",10535,3,111
"H","NA","L","M",10535,3,112
"H","L","M","M",10535,3,113
"L","H","M","M",10535,3,114
"L","NA","M","M",10535,3,115
"H","NA","M","M",10535,3,116
"M","L","H","M",10535,3,117
"L","M","H","M",10535,3,118
"L","NA","H","M",10535,3,119
"M","NA","H","M",10535,3,120
"M","L","NA","M",10535,3,121
"H","L","NA","M",10535,3,122
"L","M","NA","M",10535,3,123
"H","M","NA","M",10535,3,124
"L","H","NA","M",10535,3,125
"M","H","NA","M",10535,3,126
"H","M","L","H",11078,3,127
"M","H","L","H",11078,3,128
"M","NA","L","H",11078,3,129
"H","NA","L","H",11078,3,130
"H","L","M","H",11078,3,131
"L","H","M","H",11078,3,132
"L","NA","M","H",11078,3,133
"H","NA","M","H",11078,3,134
"M","L","H","H",11078,3,135
"L","M","H","H",11078,3,136
"L","NA","H","H",11078,3,137
"M","NA","H","H",11078,3,138
"M","L","NA","H",11078,3,139
"H","L","NA","H",11078,3,140
"L","M","NA","H",11078,3,141
"H","M","NA","H",11078,3,142
"L","H","NA","H",11078,3,143
"M","H","NA","H",11078,3,144
