"det.abund","det.MR","det.prod"
"L","L","L"
"M","L","L"
"H","L","L"
"L","M","L"
"M","M","L"
"H","M","L"
"L","H","L"
"M","H","L"
"H","H","L"
"L","NA","L"
"M","NA","L"
"H","NA","L"
"L","L","M"
"M","L","M"
"H","L","M"
"L","M","M"
"M","M","M"
"H","M","M"
"L","H","M"
"M","H","M"
"H","H","M"
"L","NA","M"
"M","NA","M"
"H","NA","M"
"L","L","H"
"M","L","H"
"H","L","H"
"L","M","H"
"M","M","H"
"H","M","H"
"L","H","H"
"M","H","H"
"H","H","H"
"L","NA","H"
"M","NA","H"
"H","NA","H"
"L","L","NA"
"M","L","NA"
"H","L","NA"
"L","M","NA"
"M","M","NA"
"H","M","NA"
"L","H","NA"
"M","H","NA"
"H","H","NA"
"L","NA","NA"
"M","NA","NA"
"H","NA","NA"
