"","scenario","JuvSurv","AdultSurv","Fec","Dailynestsurvival","Abunddetection","MRdetection"
"1",1,0.07,0.03,0.04,0,0.09,0.04
"2",2,0.06,0.03,0.04,0,0.09,0.03
"3",3,0.1,0.05,0.04,0,0.17,0.06
"4",4,0.09,0.05,0.03,0,0.19,0.06
"5",5,0.08,0.04,0.04,0,0.27,0.05
"6",6,0.2,0.13,0.04,0,0.07,NA
"7",7,0.24,0.13,0.03,0,0.08,NA
"8",8,0.12,0.08,0.01,0,0.24,NA
"9",9,0.29,0.19,0.03,0,0.15,NA
"10",10,0.18,0.12,0.03,0,0.16,NA
"11",11,0.16,0.03,0.17,0.01,0.08,0.03
"12",12,0.27,0.03,0.29,0.02,0.07,0.04
"13",13,0.12,0.05,0.16,0.01,0.18,0.05
"14",14,0.21,0.06,0.3,0.02,0.15,0.05
"15",15,0.2,0.04,0.24,0.02,0.23,0.05
