"","scenario","JuvSurv","AdultSurv","Fec","Dailynestsurvival","Abunddetection","MRdetection"
"1",1,0.05,0,-0.03,0,-0.07,0
"2",2,0.02,0,-0.01,0,-0.04,-0.01
"3",3,-0.1,0.04,0,0,-0.39,0.08
"4",4,-0.11,0.02,-0.01,0,-0.43,0.09
"5",5,-0.09,0.03,0.02,0,-0.38,0.02
"6",6,0.05,-0.02,-0.01,0,-0.01,NA
"7",7,0.36,-0.07,-0.03,0,-0.04,NA
"8",8,0.05,-0.01,-0.01,0,0.67,NA
"9",9,0.81,-0.19,0,0,-0.43,NA
"10",10,0.32,-0.1,0,0,-0.05,NA
"11",11,0.27,0.02,-0.25,-0.01,-0.04,0
"12",12,0.87,0.01,-0.48,-0.02,-0.01,0
"13",13,0.17,0.04,-0.24,-0.01,-0.05,0
"14",14,0.53,0.05,-0.51,-0.02,-0.24,0.04
"15",15,0.45,0.04,-0.38,-0.01,-0.29,0.03
